"번호";"거리계산";"주차장번호";"목적지번호"
1;280.0;"204-1-000003";74
2;130.0;"204-1-000003";84
3;240.0;"204-1-000003";85
4;220.0;"204-1-000003";92
5;270.0;"204-1-000003";94
6;30.0;"204-1-000003";100
7;250.0;"204-1-000004";67
8;220.0;"204-1-000004";80
9;90.0;"204-1-000005";13
10;280.0;"204-1-000005";29
11;50.0;"204-1-000006";13
12;240.0;"204-1-000006";29
13;200.0;"204-1-000007";13
18;200.0;"204-1-000008";21
14;230.0;"204-1-000009";21
15;300.0;"204-1-000010";2
16;280.0;"204-1-000010";21
17;220.0;"204-1-000011";21
19;300.0;"204-1-000013";24
20;220.0;"204-2-000005";2
21;270.0;"204-2-000005";28
22;290.0;"204-2-000011";97
23;150.0;"204-2-000011";98
24;60.0;"204-2-000012";97
25;250.0;"204-2-000013";83
26;180.0;"204-2-000014";13
27;220.0;"204-2-000014";70
28;300.0;"204-2-000015";83
29;280.0;"204-2-000016";5
30;190.0;"204-2-000016";76
31;290.0;"204-2-000016";100
32;200.0;"204-2-000017";70
33;240.0;"204-2-000017";88
34;110.0;"204-2-000019";67
35;270.0;"204-2-000019";82
36;170.0;"204-2-000019";93
37;150.0;"204-2-000020";82
38;290.0;"204-2-000021";79
39;240.0;"204-2-000021";87
40;100.0;"204-2-000024";72
41;230.0;"204-2-000027";96
42;100.0;"204-2-000027";99
43;70.0;"204-2-000028";99
44;140.0;"204-2-000029";96
45;250.0;"204-2-000029";99
46;230.0;"204-2-000032";79
47;290.0;"204-2-000032";92
48;290.0;"204-2-000034";71
49;130.0;"204-2-000034";79
50;160.0;"205-1-000014";4
51;160.0;"205-1-000017";21
52;210.0;"205-1-000018";17
53;170.0;"205-1-000018";31
54;100.0;"205-1-000019";17
55;70.0;"205-1-000019";31
56;100.0;"205-1-000020";17
57;40.0;"205-1-000020";31
58;290.0;"205-1-000021";17
59;240.0;"205-1-000021";31
60;220.0;"205-1-000022";74
61;280.0;"205-1-000022";78
62;150.0;"205-1-000022";84
63;210.0;"205-1-000022";85
64;260.0;"205-1-000022";92
65;100.0;"205-1-000022";100
66;290.0;"205-1-000023";74
67;190.0;"205-1-000023";84
68;270.0;"205-1-000023";85
69;290.0;"205-1-000023";92
70;100.0;"205-1-000023";100
71;290.0;"205-1-000024";84
72;190.0;"205-1-000024";100
73;250.0;"205-1-000025";5
74;280.0;"205-1-000025";19
75;250.0;"205-1-000025";76
76;280.0;"205-1-000025";100
77;100.0;"205-1-000026";5
78;120.0;"205-1-000026";19
79;110.0;"205-1-000026";76
80;130.0;"205-1-000027";5
81;140.0;"205-1-000027";19
82;150.0;"205-1-000027";76
84;270.0;"205-1-000028";4
83;210.0;"205-1-000028";5
85;210.0;"205-1-000028";19
86;230.0;"205-1-000028";76
87;170.0;"205-1-000029";4
88;300.0;"205-1-000029";19
89;200.0;"205-1-000030";8
90;270.0;"205-1-000031";8
91;240.0;"205-1-000032";8
92;210.0;"205-1-000033";99
93;290.0;"205-1-000034";99
94;240.0;"205-1-000035";13
95;300.0;"205-1-000035";29
96;160.0;"205-1-000036";13
97;230.0;"205-1-000036";29
98;100.0;"205-1-000037";13
99;300.0;"205-1-000037";27
100;180.0;"205-1-000037";29
101;160.0;"205-1-000038";1
102;0.0;"205-1-000039";7
103;130.0;"205-1-000041";20
104;60.0;"205-1-000042";20
105;290.0;"205-1-000043";7
106;300.0;"205-1-000049";12
107;260.0;"205-1-000050";32
108;130.0;"205-1-000051";10
109;250.0;"205-1-000051";32
110;80.0;"205-1-000052";32
111;280.0;"205-1-000055";18
112;240.0;"205-1-000057";24
113;100.0;"205-1-000058";2
114;290.0;"205-1-000058";25
115;140.0;"205-1-000058";28
116;40.0;"205-1-000059";2
117;240.0;"205-1-000059";25
118;90.0;"205-1-000059";28
119;200.0;"205-1-000060";24
120;190.0;"205-1-000060";25
121;110.0;"205-1-000060";26
122;250.0;"205-1-000060";91
123;110.0;"205-1-000061";24
124;290.0;"205-1-000061";25
125;10.0;"205-1-000061";26
126;180.0;"205-1-000061";91
127;90.0;"205-1-000062";24
128;180.0;"205-1-000062";26
129;190.0;"205-1-000062";91
130;200.0;"205-1-000063";24
131;210.0;"205-1-000063";25
132;110.0;"205-1-000063";26
133;230.0;"205-1-000063";91
134;270.0;"205-1-000064";12
135;230.0;"205-1-000065";6
136;280.0;"205-1-000066";18
137;250.0;"205-1-000067";18
138;250.0;"205-1-000068";10
139;150.0;"205-1-000069";6
140;290.0;"205-1-000069";11
141;270.0;"205-2-000003";27
142;250.0;"205-2-000003";29
143;150.0;"205-2-000005";23
144;280.0;"205-2-000007";22
145;160.0;"205-2-000009";21
146;60.0;"205-2-000010";17
147;120.0;"205-2-000010";31
148;230.0;"205-2-000011";17
149;170.0;"205-2-000011";31
150;130.0;"205-2-000013";2
151;270.0;"205-2-000013";25
152;120.0;"205-2-000013";28
153;260.0;"205-2-000017";2
154;230.0;"205-2-000017";28
155;240.0;"205-2-000018";2
156;270.0;"205-2-000018";15
157;270.0;"205-2-000018";25
158;190.0;"205-2-000018";28
159;210.0;"205-2-000019";2
160;180.0;"205-2-000019";15
161;50.0;"205-2-000019";25
162;160.0;"205-2-000019";28
163;240.0;"205-2-000020";15
164;210.0;"205-2-000023";3
165;100.0;"205-2-000024";4
166;300.0;"205-2-000025";19
167;250.0;"205-2-000026";23
168;180.0;"205-2-000027";5
169;160.0;"205-2-000027";19
170;190.0;"205-2-000029";15
171;290.0;"205-2-000029";24
172;110.0;"205-2-000029";25
173;220.0;"205-2-000029";26
174;260.0;"205-2-000029";28
175;290.0;"205-2-000031";17
176;220.0;"205-2-000031";31
177;80.0;"206-2-000002";56
178;150.0;"206-2-000003";56
179;260.0;"206-2-000003";64
180;170.0;"206-2-000004";56
181;110.0;"206-2-000007";40
182;110.0;"206-2-000007";50
183;150.0;"206-2-000008";65
184;50.0;"206-2-000009";36
185;130.0;"206-2-000009";38
186;150.0;"206-2-000009";52
187;110.0;"206-2-000010";58
188;70.0;"206-2-000010";59
189;60.0;"206-2-000010";61
190;280.0;"206-2-000012";39
191;210.0;"206-2-000012";46
192;290.0;"206-2-000013";39
193;150.0;"206-2-000015";46
